cinema,date,time,title,snif,type
Yes Planet,09/10/2024,14:00,Beetlejuice Beetlejuice,Jerusalem,Regular
Yes Planet,09/10/2024,21:40,Beetlejuice Beetlejuice,Jerusalem,Regular
Cinema City,09/10/2024,19:40,Blink Twice,Tel Aviv,Regular
Cinema City,09/10/2024,22:00,Blink Twice,Tel Aviv,Regular
Cinema City,09/10/2024,22:10,Blink Twice,Rishon Letzion,Regular
Cinema City,09/10/2024,22:00,Blink Twice,Ashdod,Regular
Yes Planet,09/10/2024,22:30,Blink Twice,Beer Sheva,Regular
Yes Planet,09/10/2024,19:40,Blink Twice,Zichron Yaakov,Regular
Yes Planet,09/10/2024,22:05,Blink Twice,Haifa,Regular
Yes Planet,09/10/2024,19:15,Bonnard: Pierre & Marthe,Rishon Letzion,Regular
Yes Planet,09/10/2024,21:10,Bonnard: Pierre & Marthe,Rishon Letzion,Regular
Yes Planet,09/10/2024,21:20,Bonnard: Pierre & Marthe,Tel Aviv,Regular
Yes Planet,09/10/2024,19:50,Bonnard: Pierre & Marthe,Beer Sheva,Regular
Yes Planet,09/10/2024,21:40,Bonnard: Pierre & Marthe,Beer Sheva,Regular
Yes Planet,09/10/2024,19:30,Bonnard: Pierre & Marthe,Haifa,Regular
Yes Planet,09/10/2024,16:20,Bonnard: Pierre & Marthe,Jerusalem,Regular
Yes Planet,09/10/2024,21:10,Bonnard: Pierre & Marthe,Jerusalem,Regular
Yes Planet,09/10/2024,22:00,Borderlands,Haifa,Regular
Cinema City,09/10/2024,21:50,Cash Out,Rishon Letzion,Regular
Cinema City,09/10/2024,22:10,Cash Out,Beer Sheva,Regular
Lev Cinema,09/10/2024,11:30,Come Closer,Tel Aviv,Regular
Lev Cinema,09/10/2024,14:15,Come Closer,Tel Aviv,Regular
Lev Cinema,09/10/2024,18:20,Come Closer,Tel Aviv,Regular
Lev Cinema,09/10/2024,22:15,Come Closer,Tel Aviv,Regular
Lev Cinema,09/10/2024,17:00,Come Closer,Raanana,Regular
Lev Cinema,09/10/2024,21:50,Come Closer,Raanana,Regular
Lev Cinema,09/10/2024,17:00,Come Closer,Shoham,Regular
